title,authors,publisher,subject,categories,maturityRating,page_count,average_rating,ratings_count,published_date,description,publish_year,page_count_scaled,publish_year_scaled,cluster_13,cluster_14,cluster,cluster_12
The Dream of the Celt,Mario Vargas Llosa,Macmillan + ORM,fiction,Fiction,NOT_MATURE,455,0.0,0,2012-06-05,"This ""vast and intriguing novel"" explores the life of an Irish nationalist who exposed Britain's colonial crimes—by the Nobel Prize–winning author ( Guardian, UK). In 1916, the Irish nationalist Roger Casement was hanged by the British government for treason. Casement had dedicated his extraordinary life to improving the plight of oppressed peoples around the world—especially the native populations in the Belgian Congo and the Amazon. But when he dared to draw a parallel between the injustices he witnessed in African and American colonies and those committed by the British in Northern Ireland, he became involved in a cause that led to his imprisonment and execution. When Casement's homosexuality was revealed by his prosecutors—who drew excerpts from his personal ""black diary""—the resulting scandal tainted his image to such a degree that his pioneering human rights work was nearly forgotten to history. In The Dream of the Celt, Mario Vargas Llosa—one of Latin America's most vibrant, provocative, and necessary literary voices—brings this complex character to life as no other writer can. A masterful work, sharply translated by Edith Grossman, The Dream of the Celt tackles a controversial man whose story has long been neglected, and, in so doing, pushes at the boundaries of the historical novel.",2012,0.18435289221806075,0.6285714285714263,11,11,1,11
Journey to the Center of the Earth,Jules Verne,Bantam,fiction,Fiction,NOT_MATURE,242,3.5,3,2006-04-25,"The intrepid Professor Lindenbrock embarks upon the strangest expedition of the nineteenth century: a journey down an extinct Icelandic volcano to the Earth’s very core. In his quest to penetrate the planet’s primordial secrets, the geologist—together with his quaking nephew Axel and their devoted guide, Hans—discovers an astonishing subterranean menagerie of prehistoric proportions. Verne’s imaginative tale is at once the ultimate science fiction adventure and a reflection on the perfectibility of human understanding and the psychology of the questor. As David Brin notes in his Introduction, though Verne never knew the term “science fiction,” Journey to the Centre of the Earth is “inarguably one of the wellsprings from which it all began.”",2006,0.0957136912193092,0.4571428571428555,11,11,1,11
Mysteries,Knut Hamsun,Penguin,fiction,Fiction,NOT_MATURE,356,4.0,3,2001-01-01,"The first complete English translation of the Nobel Prize-winner’s literary masterpiece A Penguin Classic Mysteries is the story of Johan Nilsen Nagel, a mysterious stranger who suddenly turns up in a small Norwegian town one summer—and just as suddenly disappears. Nagel is a complete outsider, a sort of modern Christ treated in a spirit of near parody. He condemns the politics and thought of the age, brings comfort to the “insulted and injured,” and gains the love of two women suggestive of the biblical Mary and Martha. But there is a sinister side of him: in his vest he carries a vial of prussic acid... The novel creates a powerful sense of Nagel's stream of thought, as he increasingly withdraws into the torture chamber of his own subconscious psyche. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,800 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",2001,0.1431543903454016,0.3142857142857167,11,11,1,11
Cat's Cradle,Kurt Vonnegut,Dial Press Trade Paperback,fiction,Fiction,NOT_MATURE,308,4.0,147,1998-09-08,"“A free-wheeling vehicle . . . an unforgettable ride!”—The New York Times Cat’s Cradle is Kurt Vonnegut’s satirical commentary on modern man and his madness. An apocalyptic tale of this planet’s ultimate fate, it features a midget as the protagonist, a complete, original theology created by a calypso singer, and a vision of the future that is at once blackly fatalistic and hilariously funny. A book that left an indelible mark on an entire generation of readers, Cat’s Cradle is one of the twentieth century’s most important works—and Vonnegut at his very best. “[Vonnegut is] an unimitative and inimitable social satirist.”—Harper’s Magazine “Our finest black-humorist . . . We laugh in self-defense.”—Atlantic Monthly",1998,0.12317935913441531,0.22857142857142776,11,11,1,11
There There,Tommy Orange,Vintage,fiction,Fiction,NOT_MATURE,260,5.0,2,2018-06-05,"PULITZER PRIZE FINALIST • NATIONAL BESTSELLER • A wondrous and shattering award-winning novel that follows twelve characters from Native communities: all traveling to the Big Oakland Powwow, all connected to one another in ways they may not yet realize. A contemporary classic, this “astonishing literary debut” (Margaret Atwood, bestselling author of The Handmaid’s Tale) “places Native American voices front and center” (NPR/Fresh Air). One of The Atlantic’s Great American Novels of the Past 100 Years Among them is Jacquie Red Feather, newly sober and trying to make it back to the family she left behind. Dene Oxendene, pulling his life together after his uncle’s death and working at the powwow to honor his memory. Fourteen-year-old Orvil, coming to perform traditional dance for the very first time. They converge and collide on one fateful day at the Big Oakland Powwow and together this chorus of voices tells of the plight of the urban Native American—grappling with a complex and painful history, with an inheritance of beauty and spirituality, with communion and sacrifice and heroism A book with “so much jangling energy and brings so much news from a distinct corner of American life that it’s a revelation” (The New York Times). It is fierce, funny, suspenseful, and impossible to put down--full of poetry and rage, exploding onto the page with urgency and force. There There is at once poignant and unflinching, utterly contemporary and truly unforgettable. Don't miss Tommy Orange's new book, Wandering Stars!",2018,0.10320432792342905,0.8000000000000043,11,11,1,11
The Civilisation of the Renaissance in Italy,Jacob Burckhardt,Litres,fiction,Fiction,NOT_MATURE,975,0.0,0,2019-05-08,,2019,0.400749063670412,0.8285714285714292,11,11,1,11
The Virginian,Owen Wister,"Oxford University Press, USA",fiction,Fiction,NOT_MATURE,406,4.0,2,1998-01-01,"Owen Wister's classic popular romance THE VIRGINIAN (1902) had a significant influence on the Western fiction genre. This edition includes Wister's neglected essay, ""The Evolution of the Cow-Puncher"" (1895) and an introduction highlighting the social, gender, and political implications of Wister's mythic West in the context of its actual history.",1998,0.16396171452351227,0.22857142857142776,11,11,1,11
Cape Cod,Henry D. Thoreau,BoD – Books on Demand,fiction,Fiction,NOT_MATURE,262,0.0,0,2022-03-08,"Reprint of the original, first published in 1866.",2022,0.10403662089055349,0.9142857142857181,11,11,1,11
The History of the Peloponnesian War,Thucydides,Otbebookpublishing,fiction,Fiction,NOT_MATURE,738,0.0,0,2021-01-13,"The History of the Peloponnesian War (Greek: Ἱστορίαι, ""Histories"") is a historical account of the Peloponnesian War (431–404 BC), which was fought between the Peloponnesian League (led by Sparta) and the Delian League (led by Athens). It was written by Thucydides, an Athenian historian who also served as an Athenian general during the war. His account of the conflict is widely considered to be a classic and regarded as one of the earliest scholarly works of history. The History is divided into eight books.",2021,0.3021223470661673,0.8857142857142861,11,11,1,11
The House of the Seven Gables,Nathaniel Hawthorne,CreateSpace,fiction,Unknown,NOT_MATURE,250,0.0,0,2015-04-11,The House of the Seven Gables By Nathaniel Hawthorne,2015,0.09904286308780691,0.7142857142857153,4,4,2,4
